"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1847465028443918536","Sat Oct 19 02:29:21 +0000 2024","11","Mas Pram - Bang Doel dalam programnya berkomitmen jika terpilih nanti akan memajukan budaya Betawi . Nah ini pemimpin yang peduli dengan pelestarian budaya daerah bukan pemimpin yang mengadopsi budaya luar untuk diterapkan di wilayahnya . #JakartaMenyala https://t.co/dGvpqhLlWR","1847465028443918536","https://pbs.twimg.com/media/GaODptabUAAwfPB.jpg","","in","","0","1","7","https://x.com/BungkusTukang/status/1847465028443918536","1168705905015148546","BungkusTukang"
"1847465022051742180","Sat Oct 19 02:29:20 +0000 2024","19","Melihat video ini kok vibesnya berasa banget jika @pramonoanung InshaaAllah akan memimpin Jakarta dengan amanah dan adil. PramDoel untuk #JakartaMenyala #PrakarUntukJakarta --- Pagi-pagi Indah G Bernadya TumbangkanFufufafa Hasto Yahya Sinwar https://t.co/ZSnNQe4DnV","1847465022051742180","https://pbs.twimg.com/ext_tw_video_thumb/1847464958269026304/pu/img/d_AnCeUV2ywgHm63.jpg","","in","","0","0","8","https://x.com/_riverheaven/status/1847465022051742180","975389335775199232","_riverheaven"
"1847464010863825076","Sat Oct 19 02:25:19 +0000 2024","52","Inilah Ide Keren Mas Pram dan Bang Doel Kalo klean kepingin Jakarta punya tempat tinggal yg terjangkau punya ruang u/ berkarya &amp; berinovasi jawabannya jelas Dukung 03 Pramono Anung-Rano Karno @pramonoanung #JakartaMenyala #PrakarUntukJakarta https://t.co/AkdZ1D2F6e","1847464010863825076","https://pbs.twimg.com/ext_tw_video_thumb/1847463943234867200/pu/img/uKkCdKdjUuqanhEf.jpg","","in","Selakartika","0","1","36","https://x.com/denni_sauya/status/1847464010863825076","1249352392954368001","denni_sauya"
"1847462925319229902","Sat Oct 19 02:21:00 +0000 2024","168","Rocky Gerung dukung paslon mas Pram-bang Doel untuk Jakarta lebih melenting. #JakartaMenyala https://t.co/KtEYIN48n3","1847462925319229902","https://pbs.twimg.com/media/GaOBvWYbAAAu7gW.jpg","","in","Indonesia","1","21","31","https://x.com/narkosun/status/1847462925319229902","84221579","narkosun"
"1847300490587169265","Sat Oct 19 02:19:40 +0000 2024","1","@nongandah @rockygerung Berjuang utk #jakartamenyala ","1847462590181699841","","nongandah","in","south of saudi arabia area","0","0","0","https://x.com/TutupG56821/status/1847462590181699841","1749701641912340480","TutupG56821"
"1847461508357509138","Sat Oct 19 02:15:22 +0000 2024","15","Kewajiban pemerintah untuk memajukan kebudayaan Betawi merupakan amanat dari pasal 31 Undang-Undang Nomor 2 Tahun 2024 tentang Daerah Khusus Jakarta. Kami yakin amanah untuk memajukan kebudayaan Betawi bisa diwujudkan @pramonoanung-@ranodoelkarno #JakartaMenyala https://t.co/tiJ7Q6w6EK","1847461508357509138","https://pbs.twimg.com/media/GaOAc35bUAIoWQC.jpg","","in","","1","4","12","https://x.com/DS_yantie/status/1847461508357509138","1374686160748830724","DS_yantie"
"1847460287538242035","Sat Oct 19 02:10:31 +0000 2024","16","Mas Pram Muda Sangat IDEALIS DINAMIS dab PROGRESIF Menjadi TARGET Rezim ORDE BARU Untuk Diamankan . Sampai - sampai Orang Tuanya DiINTIMIDASI Supaya Anaknya Jangan Terlalu KERAS .. #JakartaMenyala Siap Melawan Ketidakadilan https://t.co/WZLM74b4T1","1847460287538242035","https://pbs.twimg.com/ext_tw_video_thumb/1847460205627645952/pu/img/Bba7nN8IJhF1ZVlL.jpg","","in","Solo (Bekasi Timur), Indonesia","0","2","8","https://x.com/SETYAKI22965702/status/1847460287538242035","1322361095407902721","SETYAKI22965702"
"1847425122535428427","Sat Oct 19 02:05:50 +0000 2024","1","@Penyair_Berdiri @Ari3Pras Prakar Untuk Jakarta #JakartaMenyala ","1847459109794390096","","Penyair_Berdiri","in","DIHATIMU","0","0","0","https://x.com/Cintada16/status/1847459109794390096","1279643013455605760","Cintada16"
"1847444117107986805","Sat Oct 19 02:04:57 +0000 2024","0","@Penyair_Berdiri Mas Pram Bang Doel pemimpin inklusif siap bikin #JakartaMenyala","1847458887357911381","","Penyair_Berdiri","in","Indonesia","0","0","0","https://x.com/Ari3Pras/status/1847458887357911381","4200694752","Ari3Pras"
"1847458033200484406","Sat Oct 19 02:01:33 +0000 2024","0","Dukungan dari FBR dan Forkabi menunjukkan bahwa Pramono Anung dan Rano Karno memiliki kekuatan untuk membangun Jakarta bersama #JakartaMenyala https://t.co/UJiub3EvDv","1847458033200484406","https://pbs.twimg.com/media/GaN9RkebEAArMcc.jpg","","in","","0","0","0","https://x.com/rsy4me/status/1847458033200484406","2400487987","rsy4me"
"1847457773094916098","Sat Oct 19 02:00:31 +0000 2024","0","Pramono Anung adalah sosok pemimpin yang berakar dari masyarakat. Dengan dukungan dari FBR dan Forkabi ia menunjukkan bahwa ia memahami kebutuhan dan harapan masyarakat Betawi #JakartaMenyala https://t.co/AOdlWHgoSu","1847457773094916098","https://pbs.twimg.com/media/GaN9CTqbgAA0uq7.jpg","","in","","0","0","0","https://x.com/rsy4me/status/1847457773094916098","2400487987","rsy4me"
